Índice;Data;Bloco;Horário;Bairro;partida;dispersao
1;6 de Fevereiro - Sexta;Banda Bantantã Folia;16:00;Butantã;Av. Vital Brasil;Av.Valdemar Ferreira
2;6 de Fevereiro - Sexta;Bloco O Pinto do Visconde;17:00;Brás;R. Caetano Pinto;R. Caetano Pinto
4;7 de Fevereiro - Sábado;Bloco Amor Barato;09:00;Barra Funda;R. Barra Funda;R. Lavradio
5;7 de Fevereiro - Sábado;Bloco Urubózinho;09:00;Freguesia do Ó;Largo da Matriz de Nossa Senhora do Ó;Largo da Matriz de Nossa Senhora do Ó
6;7 de Fevereiro - Sábado;Integrafolia;09:00;Jardim Cliper;R. Cassiano dos Santos;R. Cassiano dos Santos
7;7 de Fevereiro - Sábado;Doentes da Sapucaí KIDS;09:00;Vila Mariana;R. Marselhesa;R.Marselhesa
8;7 de Fevereiro - Sábado;Carnafacul - Quem Pede, Pede;09:00;Vila Mariana;Ibirapuera - Av. Pedro Álvares Cabral;entre Obelisco e Monumento às Bandeiras
9;7 de Fevereiro - Sábado;Arrianu Suassunga;09:30;Pinheiros;R. Padre Carvalho;R. Padre Carvalho
10;7 de Fevereiro - Sábado;A Gente se Vira;10:00;Alto de Pinheiros;R. Vitorino de Carvalho;R. Vitorino de Carvalho
11;7 de Fevereiro - Sábado;Broco da Burocra;10:00;Campos Elíseos;R. Barão de Limeira;R. Souza Lima
12;7 de Fevereiro - Sábado;ASSOCIACAO RECREATIVA E CULTURAL BLOCO CARNAVALESCO BLOCO LOVE LIFE.;10:00;Nossa Senhora do O;R. Laguna;entre R. Bragança Paulista e R. Castro Verde
13;7 de Fevereiro - Sábado;Bloco Spandeiro;10:00;República;Pça. Dom José Gaspar;Pça. Dom José Gaspar
14;7 de Fevereiro - Sábado;Bloco do 13;10:00;República;R. Dr. Vila Nova;R. Marques de Itu
15;7 de Fevereiro - Sábado;Bloco Elástico;10:00;República;R. Desembargador Herótides da Silva Lima;R. Desembargador Herótides da Silva Lima
16;7 de Fevereiro - Sábado;Afose Vozes do Orun;10:00;Vila Diva;R. Carolina Soares;Pça. Antonio Velasco
17;7 de Fevereiro - Sábado;Bloco Sargento Pimenta;11:00;;R. dos Pinheiros 600;R. dos Pinheiros 54
18;7 de Fevereiro - Sábado;A Madonna Tá Aqui;11:00;Centro Histórico de São Paulo;Pateo do Colegio;R. Benjamin Constant
19;7 de Fevereiro - Sábado;Bloco Bahia Sampa;11:00;Centro Histórico de São Paulo;Av. Ipiranga;Pça. Ramos de Azevedo
20;7 de Fevereiro - Sábado;Bloco Bollywood;11:00;Consolação;R. Augusta 205;R. Augusta 
21;7 de Fevereiro - Sábado;Bloco do Abrava;11:00;Itaim Bibi;Av. Brigadeiro Faria Lima 4100;Av. Brigadeiro Faria Lima 4500
22;7 de Fevereiro - Sábado;Bloco Chinelo de Dedo;11:00;Lapa;Pça. Dr. Vicente Tramonte Garcia;Pça. Dr. Vicente Tramonte Garcia
23;7 de Fevereiro - Sábado;Bloco Casa Comigo;11:00;Pinheiros;R. Henrique Schaumann 567;R. Henrique Schaumann 125
24;7 de Fevereiro - Sábado;Bloco Meu Deus Que Sururu!;11:00;Pinheiros;R. Álvaro Anes;R. Padre Garcia Velho (vai e volta)
25;7 de Fevereiro - Sábado;Bloco da Abolição;12:00;Bela Vista;Pça. General Craveiro Lopes;Pça. General Craveiro Lopes
26;7 de Fevereiro - Sábado;Cordão Carnavalesco Kolombolo diá Piratininga;12:00;Bela Vista;R. Rui Barbosa;R. Conselheiro Carrão
27;7 de Fevereiro - Sábado;Bloco da OSE;12:00;Campo Belo;R. Cristóvão Pereira;R. Cristóvão Pereira
28;7 de Fevereiro - Sábado;Bloco de Rua Pode Entrar;12:00;Campo Belo;R. Forte do Triunfo;R. Forte do Triunfo
29;7 de Fevereiro - Sábado;Perdi foi Tudo;12:00;Consolação;R. Augusta 205;R. Augusta 
30;7 de Fevereiro - Sábado;Bloco da Piranha;12:00;Indianópolis;R. Estevão Lopes;R. Armando Fairbanks (Beco da USP)
31;7 de Fevereiro - Sábado;Bloco das Coelhinhas;12:00;Indianópolis;Al. dos Pamaris;Alameda dos Pamaris
32;7 de Fevereiro - Sábado;Acadêmicos do Ipanema;12:00;Jardim Ipanema(Zona Leste);R. Filippo Juvara;R. Filippo Juvara
33;7 de Fevereiro - Sábado;Bloco Ritaleena;12:00;Lapa;Av. Paulo VI 1529;Av. Paulo VI 
34;7 de Fevereiro - Sábado;Bloco Grande Família;12:00;Moema;Av. Moema;Av. Moema
35;7 de Fevereiro - Sábado;Belem Belem Agora eu To de Bem;12:00;Mooca;R. Taquari;R. Taquari
36;7 de Fevereiro - Sábado;Bloco dos Loves;12:00;Pinheiros;R. Anna Campos Mellão;R. Anna Campos Mellão
37;7 de Fevereiro - Sábado;Associação Cultural Bloco de Rua Barracão Folia;12:00;Pompeia;R. Caraíbas;R. Caraíbas
38;7 de Fevereiro - Sábado;Cordão do Póica Russa;12:00;Vila Andrade;R. Frei Duarte Jorge de Mendonça (entre R. Eduardo Ambuda e R. Dr. Soter de Faria);R. Frei Duarte Jorge de Mendonça (entre R. Eduardo Ambuda e R. Dr. Soter de Faria)
39;7 de Fevereiro - Sábado;Batucada de Nego Véio, Velha Guarda de Bambas;12:00;Vila Esperança;R. Maria Carlota;R. Maria Carlota
40;7 de Fevereiro - Sábado;Bloco Lanterna Prime;12:00;Vila Mariana;R. Aspicuelta;R. Inácio Pereira da Rocha
41;7 de Fevereiro - Sábado;Forrozin;12:00;Vila Mariana;Ibirapuera - Av. Pedro Álvares Cabral;entre Obelisco e Monumento as Bandeiras
42;7 de Fevereiro - Sábado;Bloco Cavaleiros de Doçu;12:00;Vila Água Funda;R. Rosa de Moraes;R. Foz do Jutaí.
43;7 de Fevereiro - Sábado;Os Arrebatados (Baby do Brasil);13:00;;Av. Brigadeiro Faria Lima 4100;Av. Brigadeiro Faria Lima 4500
44;7 de Fevereiro - Sábado;Bloco Magia;13:00;Barra Funda;R. Laguna;entre R. Bragança Paulista e R. Castro Verde
45;7 de Fevereiro - Sábado;Bloco do Amor;13:00;Barra Funda;R. Barra Funda;R. Barra Funda
46;7 de Fevereiro - Sábado;Bloco Ilariê;13:00;Barra Funda;07/02/2026 07/02/2026;07/02/2026 
47;7 de Fevereiro - Sábado;Perdendo a Linha;13:00;Butantã;R. Reg. León Kaniefsky;R. Reg. León Kaniefsky
48;7 de Fevereiro - Sábado;Bloco do Guerra;13:00;Campo Belo;R. Cristóvão Pereira;R. Cristóvão Pereira
49;7 de Fevereiro - Sábado;Bloco Afro Pioneiros do Samba Reggae;13:00;Centro Histórico de São Paulo;Av. Ipiranga;Praça Ramos de Azevedo.
50;7 de Fevereiro - Sábado;Bloco Vegas;13:00;Chácara Santo Antônio (Zona Sul);R. Capitão Otávio Machado 583;R. Capitão Otávio Machado 818
51;7 de Fevereiro - Sábado;BLOCO LIBERTE A IVONETE;13:00;Chácara Santo Antônio (Zona Sul);R. Henri Durant;R. Henri Durant
52;7 de Fevereiro - Sábado;Bloco da Salete Campari;13:00;Consolação;R. Augusta 205;R. Augusta 
53;7 de Fevereiro - Sábado;Gremio Recreativo e Cultural do Imirim Brás Pereira Banda Show;13:00;Imirim;R. João Roque;R. João Roque
54;7 de Fevereiro - Sábado;Bloco do Onze;13:00;Ipiranga;R. Amadis;R. Aida
55;7 de Fevereiro - Sábado;BLOCO BALACO BACO;13:00;Itaim Bibi;R. Tamandaré Toledo 190;R. Tamandaré Toledo 21
56;7 de Fevereiro - Sábado;Mi Interna Que tô Loko;13:00;Jardim Maracana;R. Macururé (ida e volta);R. Macururé (ida e volta)
57;7 de Fevereiro - Sábado;Bagaceira;13:00;Lapa;R. Guaricanga 530;R. Guaricanga 50
58;7 de Fevereiro - Sábado;Associação Recreativa e Cultural Bloco Carnavalesco Akió;13:00;Nossa Senhora do O;Casa de Cultura da Freguesia do Ó;volta no entorno da praça
59;7 de Fevereiro - Sábado;G.R.C.S Bloco Garoterror;13:00;Parque Cisper;R. Barra de Santa Rosa;R. Barra de Santa Rosa
60;7 de Fevereiro - Sábado;Bloco Caldeirão Sem Fundo;13:00;Parque Edu Chaves;R. Tenente Ângelo Zampero;R. Tenente Ângelo Zampero
61;7 de Fevereiro - Sábado;Instituto Cultural e Bloco Carnavalesco Renascer;13:00;Parque São Lourenço;R. Forte do Triunfo;R. Forte do Triunfo
62;7 de Fevereiro - Sábado;Bloco Cacique Social Club;13:00;Penha de França;Largo do Rosário - Igreja Nossa Senhora Do Rosário dos Homens de Preto;Largo do Rosário - Igreja Nossa Senhora Do Rosário dos Homens de Preto
63;7 de Fevereiro - Sábado;Cordão do Sanatório Geral;13:00;Perdizes;R. Minerva;R. Minerva
64;7 de Fevereiro - Sábado;Bloco do Binguelo;13:00;Pinheiros;R. Mateus Grou 645;R. Mateus Grou 240
65;7 de Fevereiro - Sábado;Grêmio Recreativo Bloco Nu Interessa;13:00;Pinheiros;R. Filinto de Almeida;R. Filinto de Almeida
66;7 de Fevereiro - Sábado;México Pra baixo;13:00;Pinheiros;R. Antonio Bicudo;R. Antonio Bicudo
67;7 de Fevereiro - Sábado;Vamo Que Vai Ser Legal!;13:00;Pinheiros;R. dos Pinheiros;R. dos Pinheiros
68;7 de Fevereiro - Sábado;Bloco do Rock SP;13:00;Pinheiros;R. dos Pinheiros 800;R. dos Pinheiros 315
69;7 de Fevereiro - Sábado;Bloco Unidos do Inconsciente;13:00;Pompeia;Pça. Rio dos Campos;Pça. Rio dos Campos
70;7 de Fevereiro - Sábado;Passaram a mão na Pompéia;13:00;Pompeia;R. Ministro Ferreira Alves;R. Ministro Ferreira Alves
71;7 de Fevereiro - Sábado;Bloco Xique Xique do Cairo;13:00;República;R. Pedro Américo;R. Pedro Américo
72;7 de Fevereiro - Sábado;BATEKOO - Bloco de Carnaval;13:00;Sé;Av. São João;Av. São João
73;7 de Fevereiro - Sábado;Bloco Paixão Mangueirense;13:00;Sé;Beco dos Aflitos;Pça. Ministro Costa Manso
74;7 de Fevereiro - Sábado;Bloco Vacas Profanas;13:00;Vila Anglo Brasileira;Tv. João Matias;Tv. Roque Adóglio
75;7 de Fevereiro - Sábado;Xaranga da Pompeia;13:00;Vila Anglo Brasileira;R. Ministro Sinésio Rocha;R. Ministro Sinésio Rocha
76;7 de Fevereiro - Sábado;Bloco Unidos do Acarajé;13:00;Vila Buarque;R. Martim Francisco;R.Martim Francisco
77;7 de Fevereiro - Sábado;Bloco Amigos do Gelo;13:00;Vila Diva;R. Cel. Joaquim de Freitas;Pça. Canaã
78;7 de Fevereiro - Sábado;Espirituosos do Largo Nossa Senhora do Bom Parto;13:00;Vila Gomes Cardim;Lgo. N.S. do Bom Parto;Lgo. N.S. do Bom Parto
79;7 de Fevereiro - Sábado;Bloco da Bene!;13:00;Vila Invernada;R. General Argolo 601;R. General Argolo 206
80;7 de Fevereiro - Sábado;Bloco Carnavalesco Leopoldina;13:00;Vila Leopoldina;R. Carlos Weber 988;R. Carlos Weber 420
81;7 de Fevereiro - Sábado;Bloco Besta é Tu;13:00;Vila Madalena;R. Wizard;R. Wizard
82;7 de Fevereiro - Sábado;Doentes da Sapucaí;13:00;Vila Mariana;R. Marselhesa;R. Marselhesa
83;7 de Fevereiro - Sábado;Unidos da Ressaca do Diabo;13:00;Vila Nova Conceição;Av. Helio Pellegrino 200;Av. Helio Pellegrino 800
84;7 de Fevereiro - Sábado;Associação Bloco Carnavalesco água Ardente;13:00;Vila Palmeiras;R. Antônio Rates;R. Antônio Rates
85;7 de Fevereiro - Sábado;Bloco Carnavalesco Lule;13:00;Vila Palmeiras;Av. Antônio Munhoz Bonilha;Av. Antônio Munhoz Bonilha
86;7 de Fevereiro - Sábado;Desculpa Qualquer Coisa;14:00;;Pça. Marechal Deodoro;Pça. Alfredo Paulino
87;7 de Fevereiro - Sábado;Bloco Classe A - Barra Funda;14:00;Barra Funda;R. Dr. Sérgio Meira;R. Dr. Sérgio Meira
88;7 de Fevereiro - Sábado;Bloco Ressaca do Cambuci;14:00;Cambuci;Lgo. do Cambuci;R. Luís Gama
89;7 de Fevereiro - Sábado;Bloco Olha o Sucesso;14:00;Cerqueira César;R. da Consolação;Al. Jaú
90;7 de Fevereiro - Sábado;Bloco do Ze Pereira;14:00;Jabaquara;R. Anita Costa;R. Onze de Fevereiro
91;7 de Fevereiro - Sábado;G.R.C.E.S Unidos do J.D Primavera;14:00;Jardim Ana Lucia;R. Francisco de Caldas;Pça. João Beiçola da Silva
92;7 de Fevereiro - Sábado;Cordão do Congo;14:00;Jardim Maristela;R. Raulino Galdino da Silva;R. Manoel de Souza Azevedo
93;7 de Fevereiro - Sábado;Bloco dos Trancos;14:00;Parque São Jorge;R. Santa Catarina;R. Santa Catarina
94;7 de Fevereiro - Sábado;Bloco calçada do Samba do Jd. Almanara;14:00;Pinheiros;R. Inácio Xavier de Carvalho;R. Inácio Xavier de Carvalho
95;7 de Fevereiro - Sábado;Bloco do Baligão;14:00;Pinheiros;R. João Moura 595;R. João Moura 769
96;7 de Fevereiro - Sábado;Bloco Toca Um Samba Aí;14:00;Pinheiros;R. Henrique Schaumann 567;R. Henrique Schaumann 125
97;7 de Fevereiro - Sábado;Castelo Rá-Tim-Bloco;14:00;Pinheiros;R. Padre João Gonçalves;R. Padre João Gonçalves
98;7 de Fevereiro - Sábado;O Fabuloso Bloco Amelie Pulando;14:00;Pinheiros;R. Vupabussu;R. Costa Carvalho
99;7 de Fevereiro - Sábado;Queimando a Largada;14:00;República;R. Dr. Braulio Gomes;R. Dr. Bráulio Gomes
100;7 de Fevereiro - Sábado;Acadêmicos da Ursal;14:00;Vila Buarque;R. Fortunato;R. Fortunato
101;7 de Fevereiro - Sábado;A Bruxa ta Solta;14:00;Vila Isolina Mazzei;R. Quedas 500;R. Quedas 200
102;7 de Fevereiro - Sábado;Unidos Venceremos;14:00;Vila Madalena;R. Girassol;R. Simpatia
103;7 de Fevereiro - Sábado;Bicho Maluco Beleza, com Alceu Valença;14:00;Vila Mariana;Ibirapuera - Av. Pedro Álvares Cabral;entre Obelisco e Monumento as Bandeiras
104;7 de Fevereiro - Sábado;Bloquinho Atitude;14:00;Vila Monumento;R. Gaspar Fernandes;R. Frederico Von Martius
105;7 de Fevereiro - Sábado;Bloco Pedra no Rim;14:30;Mooca;R. Itapira;R. Itapira
106;7 de Fevereiro - Sábado;Bloco Pracinha;14:30;Santa Terezinha;R. Santo Egídio;R. Santo Egídio
107;7 de Fevereiro - Sábado;Bloco Eletro Afro Muriçoca Soul;15:00;Centro Histórico de São Paulo;R. Santo Antônio;R. Major Diogo
108;7 de Fevereiro - Sábado;Associação Cultural e Social Nova Geração - Breja no Bloco;15:00;Jardim Oriental;R. Matuim;R. Matuim
109;7 de Fevereiro - Sábado;Bloco Wadaiko Sho;15:00;Liberdade;R. Galvão Bueno;R. Santa Luzia
110;7 de Fevereiro - Sábado;Bloco Carnavalesco tô no Vermelho;15:00;República;Lgo. do Arouche;Av. Ipiranga
111;7 de Fevereiro - Sábado;Bloco das Putas Vampiras;15:00;República;Lgo. do Paissandu;Pça. Ramos de Azevedo (em frente a Theatro Municipal)
112;7 de Fevereiro - Sábado;Bloco carnavalesco Todos na Contra mão;15:00;Santana;R. Cel. Lúcio Rosales;R. Cel. Lúcio Rosales
113;7 de Fevereiro - Sábado;Bloco Turma do Funil Vila Mariana;15:30;Vila Clementino;R. Agostinho Rodrigues Filho;R. Agostinho Rodrigues Filho
114;7 de Fevereiro - Sábado;Blocos dos Sem Tetos;16:00;Centro Histórico de São Paulo;Av. São João;Av. São João
115;7 de Fevereiro - Sábado;Batuca- Bresser;16:00;Mooca;R. Dr. Almeida Lima;R. Dr. Almeida Lima
116;7 de Fevereiro - Sábado;Gringolôco;16:00;Pinheiros;R. Inácio Pereira da Rocha 385;R. Inácio Pereira da Rocha 231
117;7 de Fevereiro - Sábado;Carnacol Folia;16:00;Vila Marilena;R. Jackson Pollock;R. Jackson Pollock
119;8 de Fevereiro - Domingo;Bloquinho Infantil Fraldinha Molhada;08:00;Ipiranga;R. José Oscar Abreu Sampaio 310;R. José Oscar Abreu Sampaio 187
120;8 de Fevereiro - Domingo;Baco do Parangolé;09:00;Barra Funda;R. Antônio Nagib Ibrahim;R. Tenente Lycurgo Lopes da Cruz
121;8 de Fevereiro - Domingo;Bloquinho Infantil Maria Maluquinha;09:00;Ipiranga;R. dos Sorocabanos;R. dos Sorocabanos
122;8 de Fevereiro - Domingo;Bloco Urubó;09:00;Pinheiros;Largo da Matriz de Nossa Senhora do Ó;Largo da Matriz de Nossa Senhora do Ó
123;8 de Fevereiro - Domingo;Bloco Quizomba;09:00;Pinheiros;R. Henrique Schaumann 567;R. Henrique Schaumann 125
124;8 de Fevereiro - Domingo;Bloco Tatuzinho;09:00;Pompeia;R. Serra de Botucatu;R. Serra de Botucatu
125;8 de Fevereiro - Domingo;Bloco Sainha de Chita;09:00;Pompeia;Pça. Rio dos Campos;Pça. Rio dos Campos
126;8 de Fevereiro - Domingo;Xeró NuZoi Pré Carnaval;10:00;Balneário Mar Paulista;R. do Sossego 482;R. do Sossego 106
127;8 de Fevereiro - Domingo;Bloco Carnavalesco Casa de Dona Yayá;10:00;Bela Vista;R. Coração da Europa;Casa de Dona Yayá
128;8 de Fevereiro - Domingo;Cordão Carnavalesco Espalha Torresmo;10:00;Bela Vista;R. Treze de Maio;Pça. Dom Orione
129;8 de Fevereiro - Domingo;Bloco Eco Campos Pholia;10:00;Chácara Santana;Av. Luiz Gushiken;Av. Luiz Gushiken
130;8 de Fevereiro - Domingo;Bloquinho Gente Miúda;10:00;Perdizes;Av. Prof. Alfonso Bovero;Av. Prof. Alfonso Bovero
131;8 de Fevereiro - Domingo;Cortejo do Menino de Ouro;10:00;Vila Buarque;R. Barão de Tatui;R. Imaculada Conceição
132;8 de Fevereiro - Domingo;Masca folia;11:00;Conjunto Habitacional Marechal Mascarenhas de Morais;R. Sgt. Luís Rodrigues Filho;R. Sgt. Feliz Marqueti. R. Sgt. Aires Silva Dias
133;8 de Fevereiro - Domingo;Bloco Skol;11:00;Consolação;R. Da Consolação 2101;R. Da Consolação 585
134;8 de Fevereiro - Domingo;Bloco infantil Vem Erê!;11:00;Jardim Ester;Praça Zaphira Vieira Leite;Praça Zaphira Vieira Leite
135;8 de Fevereiro - Domingo;Bloco Boêmios da Ipojuca;11:00;Lapa;Pça. São Crispim;Pça. Dr. Cipriano de Moraes
136;8 de Fevereiro - Domingo;Bloco Camarão Seco;11:00;Lapa;Pça. Dr. Vicente Tramonte Garcia;Pça. Dr. Vicente Tramonte Garcia
137;8 de Fevereiro - Domingo;Bloco do ó;11:00;Pinheiros;R. Horacio Lane;R. Simão Álvares
138;8 de Fevereiro - Domingo;Cordão Carnavalesco Confraria do Pasmado;11:00;Pinheiros;R. dos Pinheiros 1037;R. dos Pinheiros 57
139;8 de Fevereiro - Domingo;Bloco do Chá;11:00;Santo Amaro;R. Laguna;entre R. Bragança Paulista e R. Castro Verde
140;8 de Fevereiro - Domingo;Carnaval Boliviano (Associação Cultural folclórica Bolívia Brasil);12:00;Bom Retiro;R. José Paulino 577;R. José Paulino 07
141;8 de Fevereiro - Domingo;Bloco do Risca Fada;12:00;Campos Elíseos;Al. Barão de Limeira 1524;Al. Barão de Limeira 671
142;8 de Fevereiro - Domingo;Bloco Boli;12:00;Centro Histórico de São Paulo;Pça. Antônio Prado;Lgo. do Café
143;8 de Fevereiro - Domingo;PHOLIA 2026;12:00;Itaim Bibi;R. Tamandaré Toledo 190;R. Tamandaré Toledo 21
144;8 de Fevereiro - Domingo;Bloco Carnamauri;12:00;Jardim Europa;R. Capitão Francisco Padilha;R. Baviera
145;8 de Fevereiro - Domingo;Cordão Carnavalesco da Dona Micaela;12:00;Pinheiros;R. João Ribeiro;R. Dr. Almeida Nogueira
146;8 de Fevereiro - Domingo;Bloco do Preto;12:00;Pinheiros;R. Joaquim Antunes;R. dos Pinheiros.
147;8 de Fevereiro - Domingo;Banda do Fuxico;12:00;República;Av. Vieira de Carvalho;Lgo. do Arouche.
148;8 de Fevereiro - Domingo;Bloco da Cantareira;12:00;Tremembé;Pça. Mariquinha Sciascia 26;Pça. Mariquinha Sciascia 64
149;8 de Fevereiro - Domingo;Bloco Paradinho (antigo Sotero);12:00;Vila Buarque;R. Aureliano Coutinho;R. Aureliano Coutinho
150;8 de Fevereiro - Domingo;Quintal dos Pretos;12:00;Vila Mariana;Ibirapuera - Av. Pedro Álvares Cabral;entre Obelisco e Monumento às Bandeiras
151;8 de Fevereiro - Domingo;Sambão;13:00;;R. Henrique Schaumann 567;R. Henrique Schaumann 125
152;8 de Fevereiro - Domingo;Bloco da Lexa;13:00;Barra Funda;Av. Marquês de São Vicente 230;Av. Marquês de São Vicente 658
153;8 de Fevereiro - Domingo;Bloco da Ursal;13:00;Barra Funda;R. Lavradio;R. Lavradio
154;8 de Fevereiro - Domingo;Bloco Feminista;13:00;Barra Funda;R. João de Barros;R. João de Barros
155;8 de Fevereiro - Domingo;Bloco Klezmer do Bom Retiro;13:00;Bom Retiro;R. Correia de Melo;R. Correia de Melo
156;8 de Fevereiro - Domingo;Bloco do Rei;13:00;Chácara Santana;Av. Luiz Gushiken;Av. Luiz Gushiken
157;8 de Fevereiro - Domingo;Bloco Toca Raulzito;13:00;Fazenda Aricanduva;R. Gustavo Geley;R. Gustavo Geley
158;8 de Fevereiro - Domingo;Bloco #VemDançar;13:00;Imirim;Av. Engenheiro Caetano Álvares 6580;Av. Engenheiro Caetano Álvares 7900
159;8 de Fevereiro - Domingo;Bloco Galera da Rampa;13:00;Jardim Itaoca;Av. Prof. Dr. Telêmaco Hippolyto de Macedo Van Langendonck 146 (lado oposto da adega itaoca);Av. Prof. Dr. Telêmaco Hippolyto de Macedo Van Langendonck 
160;8 de Fevereiro - Domingo;Bloco Luziânia;13:00;Jardim Nordeste;R. Luziania;R. da Padroeira e R. Luziania
161;8 de Fevereiro - Domingo;Bloco Carnavalesco Atrás do Copo;13:00;Jardim dos Lagos;R. Dr. Rui Rodrigues Doria;R. das Paineiras
162;8 de Fevereiro - Domingo;Bloco Em Cima da Hora Futebol e Samba;13:00;Limão;R. Benedito Augusto Ferreira;R. Benedito Augusto Ferreira
163;8 de Fevereiro - Domingo;Adega do Miro;13:00;Parque Peruche;R. Dr. Gabbriel Covelli;R. Armando Coelho Silva
164;8 de Fevereiro - Domingo;Bloco do Chuvisco;13:00;Pinheiros;R. dos Pinheiros 1037;R. dos Pinheiros 57
165;8 de Fevereiro - Domingo;Bloco Nois Trupica Mas não Cai;13:00;Pinheiros;R. Belmiro Braga;R. Girassol
166;8 de Fevereiro - Domingo;Bloco de Pífanos de São Paulo;13:00;Planalto Paulista;Al. dos Guaicanas;Av. José Maria Whitaker
167;8 de Fevereiro - Domingo;Bloco Folia Sem Fim;13:00;São João Climaco;R. São Silvestre;R. São Silvestre
168;8 de Fevereiro - Domingo;Guarani Folia;13:00;Vila Guarani;R. Lussanvira;Pça. Barão de Japurá
169;8 de Fevereiro - Domingo;Banda Grone's - G.C.E. Grone's;13:00;Vila Leopoldina;R. Dr. Saturnino Villalva;R. Dr. Saturnino Villalva
170;8 de Fevereiro - Domingo;Tins e Bens e Tais;13:00;Vila Madalena;R. Wisard;R. Fidalga
171;8 de Fevereiro - Domingo;Bloco Toca;13:00;Vila Nova Conceição;Av. Brigadeiro Faria Lima 4150;Av. Brigadeiro Faria Lima 4500
172;8 de Fevereiro - Domingo;Conselho do Samba;14:00;;R. dos Gerânios 53;R. dos Gerânios 241
173;8 de Fevereiro - Domingo;Bloco Vou de Táxi;14:00;Chácara Santana;Av. Brigadeiro Faria Lima 4150;Av. Brigadeiro Faria Lima 4500
174;8 de Fevereiro - Domingo;Bloco do Fico;14:00;Ipiranga;R. Silvia Bueno;R. Silva Bueo
175;8 de Fevereiro - Domingo;Bloco Boca (Antigo Bloco Boca de Veludo);14:00;Itaim Bibi;Av. Brigadeiro Faria Lima 4100;Av. Brigadeiro Faria Lima 4500
176;8 de Fevereiro - Domingo;Bloco Afro Percussivo Batuquedum;14:00;Morro do índio;R. Gabriel Carozza;R. Antônio Fortinho e R. Gabriel Carozza
177;8 de Fevereiro - Domingo;Bloco do Paulicéia;14:00;Parada Inglesa;Av. Águas de São Pedro;Pça. Lions
178;8 de Fevereiro - Domingo;Gremio Recreativo Bloco do Policarpo Maluco;14:00;Parque Mandaqui;Pça. Dr. Policarão de Magalhães Viotti;Pça. Dr. Policarão de Magalhães Viotti
179;8 de Fevereiro - Domingo;Bloco do Eugênio - Caça e Caçador;14:00;Pinheiros;R. Vupabussu;R. Ferreira de Araujo
180;8 de Fevereiro - Domingo;O Bloco das Pretas de são Mateus;14:00;Planalto Paulista;R. Sebastião de Mendonça 13;R. Sebastião de Mendonça 109
181;8 de Fevereiro - Domingo;Bloco Modo Surto;14:00;Santo Amaro;R. Laguna;entre R. Bragança Paulista e R. Castro Verde
182;8 de Fevereiro - Domingo;Bloco Gal ToTal;14:00;Vila Nova Conceição;Pça. Elis Regina;Pça. Elis Regina
183;8 de Fevereiro - Domingo;Burburinho;15:00;;R. Caetano Velasco;R. Quatá
184;8 de Fevereiro - Domingo;Unidos da Barra Funda;15:00;Barra Funda;R. Ribeiro de Almeida;R. Ribeiro de Almeida
185;8 de Fevereiro - Domingo;Afro Axé Kalifa;15:00;Cidade Tiradentes;Av. dos Metalúrgicos;R. Iguarapé da Missão
186;8 de Fevereiro - Domingo;Bloco do Jatobá;15:00;Conjunto Residencial José Bonifácio;R. Giácomo Quirino;Av. Nagib Farah Maluf
187;8 de Fevereiro - Domingo;Acadêmicos do Baixo Augusta;15:00;Consolação;R. da Consolação 2101;R. da Consolação 585
188;8 de Fevereiro - Domingo;Bloco Jah é;15:00;Freguesia do Ó;Largo da Matriz de Nossa Senhora do Ó;Largo da Matriz de Nossa Senhora do Ó
189;8 de Fevereiro - Domingo;Monobloco;15:00;Vila Mariana;Ibirapuera - Av. Pedro Álvares Cabral;entre Obelisco e Monumento às Bandeiras
190;8 de Fevereiro - Domingo;Bloco Afro Afirmativo Ilu Inã;15:30;Morro do índio;R. Apa;R. Apa
191;8 de Fevereiro - Domingo;Amigos Da Fiel Tiradentes;16:00;Cidade Tiradentes;Av. dos Metalúrgicos;R. Senador Nelson Carneiro
192;8 de Fevereiro - Domingo;Gringolôco;16:00;Pinheiros;R. Inácio Pereira da Rocha 385;R. Inácio Pereira da Rocha 231
193;8 de Fevereiro - Domingo;Megabloco do Fervo - O Maior da Zona Norte;16:00;Santana;R. Cel. Lúcio Rosales;R. Cel. Lúcio Rosales
195;9 de Fevereiro - Segunda;Banda Redonda;17:30;Vila Buarque;R. Theodoro Baima;R. Theodoro Baima
197;10 de Fevereiro - Terça;Bloco UMES Caraspintadas;17:00;Bela Vista;R. Rui Barbosa;R. Rui Barbosa
199;11 de Fevereiro - Quarta;Banda do Candinho;19:00;Bela Vista;R. Treze de Maio;R. Treze de Maio.
201;13 de Fevereiro - Sexta;Banda do Trem Elétrico;18:00;Consolação;R. Augusta;R. da Consolação
202;13 de Fevereiro - Sexta;Bloco Afro Ilú Obá De Min;19:00;República;Pça.da Republica;Lgo. do Paissandu
204;14 de Fevereiro - Sábado;Manada;08:00;Barra Funda;R. Conselheiro Brotero;R. Sousa Lima
205;14 de Fevereiro - Sábado;Pernas de Saracura;08:30;Bela Vista;R. Treze de Maio;Treze de Maio
206;14 de Fevereiro - Sábado;Quanto mais CEDO, melhor!;09:00;Bela Vista;R. Treze de Maio;R. Treze de Maio
207;14 de Fevereiro - Sábado;Bloco Bem Bahia;09:00;Bela Vista;R. Conselheiro Ramalho;R. Conselheiro Ramalho
